index,pl_file,en_file,pl_words,en_words,seconds,ok,error
1,chunk_0001.pl.txt,chunk_0001.en.txt,2,2,3.886,yes,
2,chunk_0002.pl.txt,chunk_0002.en.txt,1125,1384,134.083,yes,
3,chunk_0003.pl.txt,chunk_0003.en.txt,4,4,13.042,yes,
4,chunk_0004.pl.txt,chunk_0004.en.txt,2071,2573,152.444,yes,
5,chunk_0005.pl.txt,chunk_0005.en.txt,1,1,7.875,yes,
6,chunk_0006.pl.txt,chunk_0006.en.txt,1125,1398,135.327,yes,
7,chunk_0007.pl.txt,chunk_0007.en.txt,3,3,4.962,yes,
8,chunk_0008.pl.txt,chunk_0008.en.txt,606,779,41.617,yes,
9,chunk_0009.pl.txt,chunk_0009.en.txt,1,1,4.940,yes,
10,chunk_0010.pl.txt,chunk_0010.en.txt,1023,1300,94.325,yes,
11,chunk_0011.pl.txt,chunk_0011.en.txt,2,2,8.560,yes,
12,chunk_0012.pl.txt,chunk_0012.en.txt,2614,3230,553.363,yes,
13,chunk_0013.pl.txt,chunk_0013.en.txt,2,3,12.751,yes,
14,chunk_0014.pl.txt,chunk_0014.en.txt,588,768,110.046,yes,
15,chunk_0015.pl.txt,chunk_0015.en.txt,36,43,27.365,yes,
16,chunk_0016.pl.txt,chunk_0016.en.txt,362,453,62.947,yes,
17,chunk_0017.pl.txt,chunk_0017.en.txt,336,413,49.240,yes,
